,text,Onlynouns,selectednouns
0,	台風は各地で大きな被害もたらし本市自主避難が開設され避難されたの状況はさまざまで配慮が必要なもおられたと認識してい災害情報得るのフォンの充電課題も,"['', '台風', '各地', '被害', '本市自主避難', '開設', '避難', '状況', 'さまざま', '配慮', '必要', '認識', '災害情報', 'フォン', '充電課題']",['台風']
1,そこで自主避難おける備蓄品等の活用状況,"['自主避難', '備蓄品等', '活用状況']",['自主避難']
2,各自主避難への職員配置の状況と保健など専門の配置あわせて避難運営協議との連携協力も重要と考えので市の,"['自主避難', '職員配置', '状況', '保健', '専門', '配置', '避難運営協議', '連携協力', '重要', '市']","['自主避難', '避難運営協議']"
3,自分で避難が難しい要配慮の自主避難公共施設管理指定管理や社会福祉協議地域包括支援センターなどの災害の対応,"['自分', '避難', '配慮', '自主避難公共施設管理指定管理', '社会福祉協議地域包括支援センター', '災害', '対応']",['災害']
4,平成３月官民連携ガイドラインが策定され公共施設の老朽など対応行政と民間の役割適切整理で積極な連携図りつつ効果・効率で良質な市民サービスの提供図っていくが必要でとしガイドライン基づいて市民民間事業業者のとってトリプルウインが実現される多様な官民連携積極推進そこでこれまでの官民連携の取り組み直営か官民連携か官民連携であれば形態か判断の基準お示しこれまでの官民連携の取り組みの評価も,"['平成3月官民連携ガイドライン', '策定', '公共施設', '老朽', '対応行政', '民間', '役割適切整理', '積極', '連携', '効果', '効率', '良質', '市民サービス', '提供', '必要', 'ガイドライン', '市民民間事業業者', 'トリプルウイン', '実現', '多様', '官民連携積極推進そこ', '官民連携', '取り組み直営', '官民連携', '官民連携', '形態', '判断', '基準', '示しこれ', '官民連携', '取り組み', '評価']","['官民連携', '官民連携', '官民連携', '官民連携']"
5,障福祉伺い第障害福祉計画放課後デイサービス事業は年々増加し近隣他市と比較しても十分な事業が確保されている状況昨年は放課後デイサービス撤退事業も現在のあき状態となっている施設が複数本市の状況認識事業おけるサービスの質の向上取り組み,"['福祉伺い', '障害福祉計画放課後デイサービス事業', '年々増加', '近隣', '市', '比較', '十分', '事業', '確保', '状況昨年', '放課後デイサービス撤退事業', '現在', 'あき状態', '施設', '複数本市', '状況認識事業', 'サービス', '質', '向上取り組み']",
6,本市障害相談窓口基幹相談支援センター及び相談支援センターえぽっくが全世代・全対象地域包括支援体制の構築見据え両支援センターの役割と相談支援体制の考え方お示し,"['本市障害相談窓口基幹相談支援センター', '相談支援センター', '世代', '対象地域包括支援体制', '構築', '支援センター', '役割', '相談支援体制', '考え方', '示し']",
7,市長が所轄となる社会福祉法人対しては社会福祉や関係法令通知基づく指導監査が実施されてい利用と家族が安心して施設利用できる指導監査実施しているかお示し障害福祉施設おける市民ボランティアの活躍も市の,"['所轄', '社会福祉法人', '社会福祉', '関係法令通知', '指導監査', '実施', '利用', '家族', '安心', '施設利用', '指導監査実施', 'かお', '障害福祉施設', '市民ボランティア', '活躍', '市']",
8,泉小学校跡地への開設準備が進んでいる障害福祉施設現在の進捗状況お示し利用希望の選考当たっては透明や公平が求められ選考の考え方第障害福祉計画重症心身障害や医療ケア対象と放課後デイサービスへのニーズが見込まれており当該施設で定員の拡充図るべきと考え事業の提案お示し,"['泉小学校跡地', '開設準備', '障害福祉施設現在', '進捗状況', '示し利用希望', '選考', '透明', '公平', '選考', '考え方', '障害福祉計画重症心身障害', '医療ケア対象', '放課後デイサービス', 'ニーズ', '当該施設', '定員', '拡充', '事業', '提案', '示し']","['選考', '選考']"
9,平成３月公園配置計画が策定され半が経過し改めて間の取り組みの成果と６つの基本方針基づく今後の取り組みお示し,"['平成3月公園配置計画', '策定', '半', '経過', '間', '取り組み', '成果', '基本方針', '今後', '示し']",
10,サマー子ども教室と児童ランチタイム事業の試行実施が続いていが来年度からの本格実施概要お示し放課後子供教室改めて人材の確保と役割お示し今後の方向取り組みも,"['サマー子ども教室', '児童ランチタイム事業', '試行実施', '来年度', '本格実施概要', '示し放課後子供教室', '人材', '確保', '役割', '示し今後', '方向取り組み']",
11,田無南口前広場第定例でまち若者サミットからの提案踏まえて形で事業取り組めるか庁横断調整図っていくとの答弁どこで検討がなされたか庁横断な調整の内容お示し第定例で仮庁舎整備よる来庁の増加踏まえ周辺の交通対策サービス開始向けた検討求め対策が講じられるかあわせて南町自転車保管の一部駐車伴って登下校の児童への安全対策と当該学校及び保護への情報提供も,"['田無南口', '広場', '定例', 'まち若者サミット', '提案', '形', '事業', '庁横断調整', '検討', '庁横断', '調整', '内容', '示し', '定例', '庁舎整備', '庁', '増加', '周辺', '交通対策サービス開始', '検討', '対策', '南町自転車保管', '一部駐車', '登下校', '児童', '安全対策', '当該学校', '保護', '情報提供']",
12,とし,[],
13,〔市長登壇〕,[],
14,	:◯市長（）の一般対し防災対策の備蓄物資の活用状況お答えし台風接近伴う自主避難への避難地震災害とは異なりの時間な余裕と避難時点での自宅の被害がなく身の回りで必要と物資の持ち出しが比較的可能な状況でから必要な衣服医薬品食料や飲み物などは持参していただくが一般となっており今回自主避難での備蓄物資の活用つきましては毛布カーペット発電や投光器など主避難されるが持参が困難とされる物資提供いたしが避難生活が長期わたる場合や大規模停電よる断水などが発生場合アルファなどの食料やペットボトル飲料などの提供となり避難開設や運営伴う資機材つきまして案内表示の不足やフォンなどモバイル通信機器よる情報入手のの充電設備の対応など課題で避難のの需要対応できる専用充電の配備など検討しているございさら開設いたし自主避難おきましては要配慮の向け備蓄しているパーティションの物資活用いたございが乳幼児抱えるや配慮が必要な高齢のへの対応開設運営の状況踏まえ今後さら備蓄資機材や物資の活用方法持参が困難なへの保護の観点も含め検討図ってまいりたいと考えており,"['', '一般', '防災対策', '備蓄物資', '台風接近', '自主避難', '避難地震災害', '時間', '余裕', '避難時点', '自宅', '被害', '身の回り', '必要', '物資', '持ち出し', '可能', '状況', '必要', '衣服医薬品食料', '飲み物', '持参', '一般', '今回自主避難', '備蓄物資', '活用', '毛布カーペット発電', '投光器', '避難', '持参', '困難', '物資提供', '避難生活', '長期', '場合', '規模停電', '断水', '発生場合アルファ', '食料', 'ペットボトル飲料', '提供', '避難開設', '運営', '資機材', '案内表示', '不足', 'フォン', 'モバイル通信機器', '情報入手', '充電設備', '対応', '課題', '避難', '需要対応', '専用充電', '配備', '検討', 'さら開設', '自主避難', '配慮', '向け備蓄', 'パーティション', '物資活用', '乳幼児', '配慮', '必要', '高齢の', '対応開設運営', '状況', '今後さら備蓄資機材', '物資', '活用方法持参', '困難', '保護', '観点', '検討']","['自主避難', '自主避難']"
15,次職員配置のお答えし台風の接近伴う市の対応体制つきましては進路や勢力防災・気象情報の分析や気象庁ホットラインよる予報からの助言で一定の状況見込んだで災害対応体制決定しているございしかしながら台風の接近降雨の強度や継続時間風速気象状況の変化適切とらえ事態が起こり得るか想定し対応できる人員体制の見直し早期判断も災害対策極めて重要でと認識しており今回の台風第職員の配置体制つきましては台風接近前の月（金曜日）の段階で第非常配備態勢といたし多摩地区大雨特別警報が発令された月（土曜日）の午後状況悪化よる避難勧告は避難指示の発令見据え全職員が配備要員となる第非常配備態勢広範囲立ち退き避難呼びかける場合対応できる職員配備態勢とでござい第非常配備態勢の発令参集職員の配置つきましては追加開設自主避難及び交代要員の配置も含めて派遣行ったで課題もござい問題踏まえ一層対応態勢精査しタイムラインの作成台風接近伴う各レベルおいて適正な態勢となる検討進めあわせて自主避難の開設時期や活用資機材避難運営協議の皆様との協力関係の整理進め地域防災計画おける風水害対策の充実図ってまいりたいと考えており,"['職員配置', '台風', '接近', '市', '対応体制', '進路', '勢力防災', '気象情報', '分析', '気象庁ホットライン', '予報', '助言', '一定', '状況', '災害対応体制決定', '台風', '接近降雨', '強度', '継続時間風速気象状況', '変化適切', '事態', '想定', '対応', '人員体制', '見直し早期判断', '災害対策', '重要', '認識', '今回', '台風', '職員', '配置体制', '台風接近前', '月金曜日', '段階', '非常配備態勢', '多摩地区大雨特別警報', '発令', '月土曜日', '午後状況悪化', '避難勧告', '避難指示', '発令', '職員', '配備要員', '非常配備態勢広範囲', '避難', '場合対応', '職員配備態勢', '非常配備態勢', '発令参集職員', '配置', '追加開設自主避難', '交代要員', '配置', '派遣', '課題', '問題', '対応態勢精査', 'タイムライン', '作成台風接近', 'レベル', '適正', '態勢', '検討', '自主避難', '開設時期', '活用資機材避難運営協議', '協力関係', '整理', '地域防災計画', '風水害対策', '充実']","['台風', '台風', '台風', '自主避難', '地域防災計画']"
16,次専門の配置お答えし災害被災されたは心身への負担も多く健康管理は災害関連とも密接な関係が心身の不安や身体負担和らげる支援つきましては重要な課題でと認識しており避難施設おける専門の配置つきましては避難されたの身体・精神負担軽減果たすべき役割は大きく避難ののニーズも高いと考えられるから避難施設開設は市職員の保健や看護保育専門の配置は巡回体制構築し避難の適切な保健活動行ってまいりたいと考えており避難が長期場合備え地域防災計画で定めている医療救護対策の強化努め訓練の充実及び西東京医師関係団体との連携さら状況応じて柔軟配置できる東京からの派遣や保健所とも連携図りながら調整してまいりたいと考えており,"['専門', '災害被災', '心身', '負担', '健康管理', '災害関連', '密接', '関係', '心身', '不安', '身体負担', '支援', '重要', '課題', '認識', '避難施設', '専門', '配置', '避難', '身体', '精神負担軽減', '役割', '避難', 'ニーズ', '避難施設開設', '市職員', '保健', '看護保育専門', '配置', '巡回体制構築', '避難', '適切', '保健活動', '避難', '長期場合', '地域防災計画', '医療救護対策', '強化', '訓練', '充実', '西東京医師関係団体', '連携さら状況', '柔軟配置', '東京', '派遣', '保健所', '連携', '調整']",['地域防災計画']
